# 20Msun surface properties as a function of time; 
# Created with notebook "20Msun-surfacedata.ipynb" on 
# NuGrid server http://wendi1.phys.uvic.ca
# Cols:   star_age [yr], log_L [log10 L/Lsun],    log_Teff [log10 T/K],    log_R [log10 R/Rsun],    log_g [log g [cgs]]
7.218701682429176858e-08 4.200368299417162277e+00 3.505065277796812317e+00 2.613312430567584332e+00 5.122944879419376596e-01
8.665270343136269505e-08 4.200207073100941990e+00 3.505024904392636920e+00 2.613312564217824541e+00 5.122942206414575761e-01
1.040115273598478227e-07 4.200032399337499278e+00 3.504981195530639138e+00 2.613312645060099193e+00 5.122940589569081604e-01
1.248421160740299627e-07 4.199847220441928819e+00 3.504934778225893943e+00 2.613312890221803908e+00 5.122935686334986194e-01
1.498388225310485359e-07 4.199656674642315402e+00 3.504887071328458781e+00 2.613313031116867968e+00 5.122932868433703879e-01
1.798348702794708449e-07 4.199466840054914663e+00 3.504839492440855686e+00 2.613313271598373788e+00 5.122928058803590812e-01
2.158301275775775840e-07 4.199288224366211075e+00 3.504794747804902855e+00 2.613313453025928101e+00 5.122924430252505656e-01
2.590244363353056657e-07 4.199133984647562379e+00 3.504756084142283346e+00 2.613313660491842327e+00 5.122920280934222248e-01
3.108576068445793742e-07 4.199020248695054747e+00 3.504727580654541264e+00 2.613313799491072675e+00 5.122917500949616398e-01
3.730574114557078138e-07 4.198958696889376618e+00 3.504712122031881094e+00 2.613313940833553950e+00 5.122914674099990906e-01
4.476971769890619414e-07 4.198961061086171398e+00 3.504712667101660184e+00 2.613314032792393604e+00 5.122912834923198933e-01
5.372648956290868734e-07 4.199039505340566691e+00 3.504732239104851654e+00 2.613314110913207866e+00 5.122911272506908142e-01
6.447461579971167917e-07 4.199195890672134723e+00 3.504771364472722528e+00 2.613314052843250135e+00 5.122912433906063878e-01
7.737236728387527784e-07 4.199432082073460748e+00 3.504830464500705567e+00 2.613313948487947069e+00 5.122914521012126299e-01
9.284966906487158988e-07 4.199746207121238584e+00 3.504909070879815847e+00 2.613313798253614983e+00 5.122917525698764685e-01
1.114224312020671580e-06 4.200134817744630489e+00 3.505006235785815605e+00 2.613313773753311420e+00 5.122918015704839290e-01
1.337097457667018397e-06 4.200591693452836672e+00 3.505120541225516195e+00 2.613313600728013331e+00 5.122921476210803293e-01
1.604545232442634663e-06 4.201108473437352941e+00 3.505249784733994733e+00 2.613313503703314389e+00 5.122923416704776578e-01
1.925482562173374181e-06 4.201680353366299414e+00 3.505392810311379392e+00 2.613313392513018751e+00 5.122925640510691547e-01
2.310607357850261265e-06 4.202300983079073404e+00 3.505547986680945360e+00 2.613313354630273366e+00 5.122926398165594808e-01
